Date,ppt (inches)
1970,67.49
1971,73.39
1972,62.49
1973,65.91
1974,66.51
1975,61.21
1976,38.48
1977,52.58
1978,44.79
1979,55.51
1980,57.95
1981,61.85
1982,66.94
1983,75.17
1984,63.55
1985,35.29
1986,58.24
1987,51.7
1988,53.14
1989,40.09
1990,52.97
1991,43.19
1992,45.47
1993,46.83
1994,51.69
1995,73.84
1996,93.54
1997,61.17
1998,76.49
1999,73.16
2000,44.83
2001,48.04
2002,55.66
2003,57.16
2004,46.95
2005,52.79
2006,73.25
2007,54.64
2008,46.99
2009,49.88
2010,66.16
2011,51.57
2012,75.72
2013,33.37
2014,62.91
2015,50.57
2016,67.15
2017,70.35
2018,45.9
2019,45.68
2020,53.05
