Date,ppt (inches)
10/1/2018,0.02
10/2/2018,0
10/3/2018,0
10/4/2018,0
10/5/2018,0.15
10/6/2018,0.51
10/7/2018,0.04
10/8/2018,0.14
10/9/2018,0.11
10/10/2018,0
10/11/2018,0
10/12/2018,0
10/13/2018,0
10/14/2018,0
10/15/2018,0
10/16/2018,0
10/17/2018,0
10/18/2018,0
10/19/2018,0
10/20/2018,0
10/21/2018,0
10/22/2018,0
10/23/2018,0
10/24/2018,0.18
10/25/2018,0
10/26/2018,0.42
10/27/2018,0.29
10/28/2018,0.87
10/29/2018,0.43
10/30/2018,0.2
10/31/2018,0.2
11/1/2018,0.09
11/2/2018,0.33
11/3/2018,0.06
11/4/2018,0.37
11/5/2018,0.18
11/6/2018,0.13
11/7/2018,0
11/8/2018,0
11/9/2018,0
11/10/2018,0
11/11/2018,0
11/12/2018,0
11/13/2018,0
11/14/2018,0
11/15/2018,0.04
11/16/2018,0
11/17/2018,0
11/18/2018,0
11/19/2018,0
11/20/2018,0
11/21/2018,0.03
11/22/2018,0.31
11/23/2018,1.26
11/24/2018,0.4
11/25/2018,0
11/26/2018,0.04
11/27/2018,1.09
11/28/2018,0.99
11/29/2018,0.67
11/30/2018,0.14
12/1/2018,0.9
12/2/2018,0.12
12/3/2018,0.15
12/4/2018,0
12/5/2018,0
12/6/2018,0
12/7/2018,0
12/8/2018,0.27
12/9/2018,0.03
12/10/2018,0.7
12/11/2018,0.16
12/12/2018,1.41
12/13/2018,0.17
12/14/2018,0
12/15/2018,0.42
12/16/2018,0.18
12/17/2018,0.52
12/18/2018,3.57
12/19/2018,1.01
12/20/2018,0.04
12/21/2018,0.45
12/22/2018,0.01
12/23/2018,1.07
12/24/2018,0.6
12/25/2018,0.13
12/26/2018,0.05
12/27/2018,0.26
12/28/2018,0.1
12/29/2018,0.07
12/30/2018,0.7
12/31/2018,0.25
1/1/2019,0
1/2/2019,0
1/3/2019,0.02
1/4/2019,0.37
1/5/2019,0.02
1/6/2019,0.58
1/7/2019,0.38
1/8/2019,0.4
1/9/2019,0.12
1/10/2019,0.85
1/11/2019,0.01
1/12/2019,0
1/13/2019,0
1/14/2019,0
1/15/2019,0
1/16/2019,0
1/17/2019,0.26
1/18/2019,0.81
1/19/2019,1.47
1/20/2019,0.44
1/21/2019,0.27
1/22/2019,0.04
1/23/2019,0.66
1/24/2019,0.09
1/25/2019,0.02
1/26/2019,0
1/27/2019,0
1/28/2019,0
1/29/2019,0
1/30/2019,0
1/31/2019,0
2/1/2019,0
2/2/2019,0.12
2/3/2019,0.24
2/4/2019,0.62
2/5/2019,0.04
2/6/2019,0.05
2/7/2019,0
2/8/2019,0
2/9/2019,0.62
2/10/2019,0.23
2/11/2019,0.83
2/12/2019,1.2
2/13/2019,1.9
2/14/2019,0.18
2/15/2019,0.54
2/16/2019,0.68
2/17/2019,0.31
2/18/2019,0
2/19/2019,0
2/20/2019,0.66
2/21/2019,0.33
2/22/2019,0
2/23/2019,0.52
2/24/2019,1.06
2/25/2019,0.45
2/26/2019,0.03
2/27/2019,0.19
2/28/2019,0.01
3/1/2019,0.12
3/2/2019,0
3/3/2019,0
3/4/2019,0
3/5/2019,0
3/6/2019,0.01
3/7/2019,0.43
3/8/2019,0.26
3/9/2019,0.47
3/10/2019,0
3/11/2019,0
3/12/2019,0.51
3/13/2019,0.25
3/14/2019,0.02
3/15/2019,0
3/16/2019,0
3/17/2019,0
3/18/2019,0
3/19/2019,0
3/20/2019,0
3/21/2019,0
3/22/2019,0
3/23/2019,0.28
3/24/2019,0.24
3/25/2019,0
3/26/2019,0.14
3/27/2019,0
3/28/2019,0.26
3/29/2019,0.11
3/30/2019,0.03
3/31/2019,0
4/1/2019,0.08
4/2/2019,0.76
4/3/2019,0.2
4/4/2019,0.11
4/5/2019,0.72
4/6/2019,0.71
4/7/2019,2.29
4/8/2019,1.49
4/9/2019,0.52
4/10/2019,0.09
4/11/2019,1.54
4/12/2019,0.3
4/13/2019,0.01
4/14/2019,0.2
4/15/2019,0.08
4/16/2019,0.3
4/17/2019,0.03
4/18/2019,0
4/19/2019,0
4/20/2019,0.38
4/21/2019,0.01
4/22/2019,0
4/23/2019,0.04
4/24/2019,0
4/25/2019,0
4/26/2019,0
4/27/2019,0
4/28/2019,0
4/29/2019,0
4/30/2019,0
5/1/2019,0
5/2/2019,0
5/3/2019,0
5/4/2019,0
5/5/2019,0
5/6/2019,0
5/7/2019,0
5/8/2019,0
5/9/2019,0
5/10/2019,0
5/11/2019,0
5/12/2019,0
5/13/2019,0
5/14/2019,0.04
5/15/2019,0.23
5/16/2019,0.36
5/17/2019,0.14
5/18/2019,0.08
5/19/2019,0.58
5/20/2019,0.04
5/21/2019,0.12
5/22/2019,0.33
5/23/2019,0.02
5/24/2019,0
5/25/2019,0.03
5/26/2019,0.42
5/27/2019,0.09
5/28/2019,0
5/29/2019,0
5/30/2019,0
5/31/2019,0
6/1/2019,0
6/2/2019,0
6/3/2019,0
6/4/2019,0
6/5/2019,0
6/6/2019,0
6/7/2019,0.14
6/8/2019,0.09
6/9/2019,0
6/10/2019,0
6/11/2019,0
6/12/2019,0
6/13/2019,0
6/14/2019,0
6/15/2019,0
6/16/2019,0
6/17/2019,0
6/18/2019,0
6/19/2019,0
6/20/2019,0
6/21/2019,0
6/22/2019,0
6/23/2019,0
6/24/2019,0
6/25/2019,0
6/26/2019,0
6/27/2019,0.26
6/28/2019,0.46
6/29/2019,0
6/30/2019,0
7/1/2019,0
7/2/2019,0
7/3/2019,0
7/4/2019,0
7/5/2019,0
7/6/2019,0
7/7/2019,0
7/8/2019,0
7/9/2019,0
7/10/2019,0.57
7/11/2019,0
7/12/2019,0
7/13/2019,0
7/14/2019,0
7/15/2019,0.15
7/16/2019,0.1
7/17/2019,0
7/18/2019,0.05
7/19/2019,0
7/20/2019,0
7/21/2019,0
7/22/2019,0
7/23/2019,0
7/24/2019,0
7/25/2019,0
7/26/2019,0
7/27/2019,0
7/28/2019,0
7/29/2019,0
7/30/2019,0
7/31/2019,0
8/1/2019,0
8/2/2019,0
8/3/2019,0
8/4/2019,0
8/5/2019,0
8/6/2019,0
8/7/2019,0
8/8/2019,0
8/9/2019,0
8/10/2019,0
8/11/2019,0
8/12/2019,0
8/13/2019,0
8/14/2019,0
8/15/2019,0
8/16/2019,0
8/17/2019,0
8/18/2019,0
8/19/2019,0
8/20/2019,0
8/21/2019,0
8/22/2019,0.27
8/23/2019,0
8/24/2019,0
8/25/2019,0
8/26/2019,0
8/27/2019,0
8/28/2019,0
8/29/2019,0
8/30/2019,0
8/31/2019,0
9/1/2019,0
9/2/2019,0
9/3/2019,0
9/4/2019,0
9/5/2019,0
9/6/2019,0
9/7/2019,0
9/8/2019,0.12
9/9/2019,0.53
9/10/2019,0.38
9/11/2019,0.07
9/12/2019,0
9/13/2019,0.04
9/14/2019,0
9/15/2019,0.03
9/16/2019,0.59
9/17/2019,0.32
9/18/2019,0.51
9/19/2019,0.19
9/20/2019,0
9/21/2019,0
9/22/2019,0.05
9/23/2019,0.41
9/24/2019,0.01
9/25/2019,0.02
9/26/2019,0
9/27/2019,0
9/28/2019,0.34
9/29/2019,0.29
9/30/2019,1.1
10/1/2019,0
10/2/2019,0
10/3/2019,0.16
10/4/2019,0.13
10/5/2019,0.17
10/6/2019,0
10/7/2019,0
10/8/2019,0.21
10/9/2019,0.16
10/10/2019,0
10/11/2019,0
10/12/2019,0
10/13/2019,0.04
10/14/2019,0
10/15/2019,0
10/16/2019,0.06
10/17/2019,0.71
10/18/2019,0.5
10/19/2019,1.38
10/20/2019,0.61
10/21/2019,0.28
10/22/2019,0.38
10/23/2019,0.02
10/24/2019,0
10/25/2019,0
10/26/2019,0
10/27/2019,0
10/28/2019,0
10/29/2019,0
10/30/2019,0
10/31/2019,0
11/1/2019,0
11/2/2019,0
11/3/2019,0
11/4/2019,0
11/5/2019,0
11/6/2019,0
11/7/2019,0
11/8/2019,0
11/9/2019,0
11/10/2019,0
11/11/2019,0
11/12/2019,0
11/13/2019,0
11/14/2019,0
11/15/2019,0.19
11/16/2019,0.06
11/17/2019,0
11/18/2019,0.04
11/19/2019,0.54
11/20/2019,0.02
11/21/2019,0
11/22/2019,0
11/23/2019,0
11/24/2019,0.06
11/25/2019,0.32
11/26/2019,0.21
11/27/2019,0.56
11/28/2019,0
11/29/2019,0
11/30/2019,0
12/1/2019,0.2
12/2/2019,0.09
12/3/2019,0
12/4/2019,0
12/5/2019,0
12/6/2019,0
12/7/2019,0.54
12/8/2019,0.35
12/9/2019,0
12/10/2019,0
12/11/2019,0.84
12/12/2019,0.46
